"40984589-NGRAMS1.txt","Getting in Under the Radar: A Dyadic View of Invisible Support"
"40064993-NGRAMS1.txt","When Hurt Will Not Heal: Exploring the Capacity to Relive Social and Physical Pain"
"40575223-NGRAMS1.txt","Differentiating Social and Personal Power: Opposite Effects on Stereotyping, but Parallel Effects on Behavioral Approach Tendencies"
"41062295-NGRAMS1.txt","Priming Competence Diminishes the Link Between Cognitive Test Anxiety and Test Performance: Implications for the Interpretation of Test Scores"
"40063596-NGRAMS1.txt","When Sound Affects Vision: Effects of Auditory Grouping on Visual Motion Perception"
"40063595-NGRAMS1.txt","Virtually Perfect Time Sharing in Dual-Task Performance: Uncorking the Central Cognitive Bottleneck"
"40062932-NGRAMS1.txt","Stroop Interference and Color-Word Similarity"
"40575105-NGRAMS1.txt","Individual Differences in Course Choice Result in Underestimation of the Validity of College Admissions Systems"
"40064923-NGRAMS1.txt","A Motion Aftereffect from Still Photographs Depicting Motion"
"41320030-NGRAMS1.txt","The Inherent Reward of Choice"
"41320005-NGRAMS1.txt","Cross-Language Intrusion Errors in Aging Bilinguals Reveal the Link Between Executive Control and Language Selection"
"40063563-NGRAMS1.txt","Brain-Mind States: Reciprocal Variation in Thoughts and Hallucinations"
"40064068-NGRAMS1.txt","Emotion, Memory, and Attention in the Taboo Stroop Paradigm: An Experimental Analogue of Flashbulb Memories"
"40064774-NGRAMS1.txt","Explaining Contradictory Relations between Risk Perception and Risk Taking"
"40064826-NGRAMS1.txt","Gene-Environment Interactions in Depression Research: Genetic Polymorphisms and Life-Stress Polyprocedures"
"41062172-NGRAMS1.txt","You're Having Fun When Time Flies: The Hedonic Consequences of Subjective Time Progression"
"40064348-NGRAMS1.txt","Is High Sex Drive Associated with Increased Sexual Attraction to Both Sexes? It Depends on Whether You Are Male or Female"
"40064601-NGRAMS1.txt","Children's Understanding and Experience of Mixed Emotions"
"40064954-NGRAMS1.txt","Illegitimacy Moderates the Effects of Power on Approach"
"40063087-NGRAMS1.txt","On the Dangers of Averaging across Subjects When Using Multidimensional Scaling or the Similarity-Choice Model"
"40064404-NGRAMS1.txt","Distinct Capacity Limits for Attention and Working Memory: Evidence from Attentive Tracking and Visual Working Memory Paradigms"
"40063802-NGRAMS1.txt","Providing Social Support May Be More Beneficial than Receiving It: Results from a Prospective Study of Mortality"
"41062370-NGRAMS1.txt","Eye Movements During Mindless Reading"
"40062990-NGRAMS1.txt","Searching for Mood Dependent Memory"
"40063582-NGRAMS1.txt","Visual Search Remains Efficient When Visual Working Memory Is Full"
"40064039-NGRAMS1.txt","A Sex Difference in the Specificity of Sexual Arousal"
"40064508-NGRAMS1.txt","Power and Perspectives Not Taken"
"40063820-NGRAMS1.txt","Exogenous Spatial Attention Influences Figure-Ground Assignment"
"40575051-NGRAMS1.txt","Illusory Control: A Generative Force Behind Power's Far-Reaehing Effects"
"40063707-NGRAMS1.txt","Child-Care Structure → Process → Outcome: Direct and Indirect Effects of Child-Care Quality on Young Children's Development"
"40064813-NGRAMS1.txt","When the Need to Belong Goes Wrong: The Expression of Social Anhedonia and Social Anxiety in Daily Life"
"40062930-NGRAMS1.txt","Automatic Stereotyping"
